Name,Director,Country,Year,Location,Format,Viewed Ever/This Version,Recommend?,Unwatched shortlist,"
"
The Decameron,Pier Paolo Pasolini,Italy,1971,Dublin,HD,Y/N,Y,,
Salo,Pier Paolo Pasolini,Italy,1975,Dublin ,HD,Y/N,Y,,
Yojimbo,Akira Kurosawa,Japan,1961,,ISO,Y/Y,Y,,
Ring 2,Hideo Nakata,Japan,1999,Dublin,DVD,Y/Y,Y,,
Onibaba,Kaneto Shindo,Japan,1964,Dublin,ISO,Y/Y,Y,,
Ugetsu Monogatari,Kenji Mizoguchi,Japan,1953,,Cinema,Y/Y,N,,
Battle Royale,Kinji Fukasaku,Japan,2000,Dublin,DVD,Y/Y,,,
Tetsuo,Shinya Tsukamoto,Japan,1989,Dublin,DVD,Y/Y,Y,,
Tetsuo II: The Body Hammer,Shinya Tsukamoto,Japan,1992,Dublin,DVD,Y/Y,Y,,
Brother,Takeshi Kitano,Japan,2000,Dublin,DVD,Y/Y,,,
Late Spring,Yasujiro Ozu,Japan,1949,,ISO,Y/Y,,,
Tokyo Story,Yasujiro Ozu,Japan,1953,,ISO,Y/Y,,,
X,,Japan,1996,,,N/N,,Y,
Dekalog,Krzysztof Kieslowski,Poland,1990,,,,,,
"4 Months, 3 Weeks and 2 Days",Christian Mungiu,Romania,2007,Dublin,ISO,Y/Y,Y,,
Nostalgia,Andrei Tarkovsky,Russia,1983,,,Y/Y,N,,
The Sacrifice,Andrei Tarkovsky,Russia,1986,,,N/N,,Y,
Tarkovsky Companion,Andrei Tarkovsky,Russia,,,ISO,,,,
Tarkovsky Companion Disc 1,Andrei Tarkovsky,Russia,,,,,,,
Come and See,Elem Klimov,Russia,1985,,ISO,Y/Y,Y,,
Underground,Emir Kusturica,Serbia,1995,,ISO,Y/Y,N,,
Black Cat White Cat,Emir Kusturica,Serbia,1998,Dublin,DVD,Y/Y,N,,
Old Boy,Park Chan Wook,South Korea,2003,,HD,Y/Y,Y,,
I’m A Cyborg (dvd_video),Park Chan Wook,South Korea,2006,,ISO,Y/Y,Y,,
Labyrinths Of Passion,Pedro Almodovar,Spain,1982,Dublin,MKV,Y/Y,Y,,
The Law Of Desire,Pedro Almodovar,Spain,1987,,,Y/Y,Y,,
WHat Have I Done to Deserve This?,Pedro Almodovar,Spain,1987,,,Y/Y,N,,
Women On The Verge Of A Nervous Breakdown,Pedro Almodovar,Spain,1988,Dublin,ISO,Y/Y,,,
To Joy,Ingmar Bergman,Sweden,1950,Dublin,ISO,Y/Y,Y,,
Summer With Monika,Ingmar Bergman,Sweden,1953,Dublin,ISO,Y/Y,Y,,
Smiles of a Summer Night,Ingmar Bergman,Sweden,1955,Dublin ,DVD,Y/Y,N,,
Through A Glass Darkly,Ingmar Bergman,Sweden,1961,Dublin,DVD,N/N,,,
Fanny And Alexander,Ingmar Bergman,Sweden,1982,Dublin,ISO,Y/Y,Y,,
The River,Tsai Ming Liang,Taiwan,1997,Dublin,SD,Y/Y,Y,"
",
Goodbye Dragon Inn,Tsai Ming Liang,Taiwan,2003,Dublin,SD,Y/Y,Y,,
Uncle Boonme,Apichatpong Weerasethakul,Thailand,2010,,ISO,,Y,,
The Heart Is Deceitful Above All Things,Asia Argento,USA,2004,,,Y/Y,N,,
Double Indemnity,Billy Wilder,USA,1944,Dublin ,ISO,Y/Y,N,,
The Machinist,Brad Anderson,USA,2004,Dublin,,Y/Y,,,
The Bat,Crane Wilbur,USA,1959,,,,,,
Benjamin Button,David Fincher,USA,2008,Dublin,BD,Y/Y,N,,
Dune,David Lynch,USA,1984,,ISO,Y/N,,,
Lost Highway,David Lynch,USA,1997,,ISO,Y/N,,,
Mulholland Drive,David Lynch,USA,2001,Dublin,DVD,Y/N,,,
Inland Empire,David Lynch,USA,2006,Dublin,DVD,Y/N,,,
Bride of the Monster,Ed Wood,USA,1955,,,,,,
THX 1138,George Lucas,USA,1971,Dublin,ISO,Y/Y,N,,
Trash Humpers,Harmony Korine,USA,2009,,ISO,Y/Y,,,
Night On Earth,Jim Jarmusch,USA,1991,Dublin,,Y/Y,Y,,
Shadows,John Cassavettes,USA,1959,,ISO,Y/Y,N,,
Bukowski Born Into This,John Dullaghan,USA,2003,,,Y/Y,N,,
Stagecoach,John Ford,USA,1939,Dublin,ISO,Y/Y,Y,,
Anger,Kenneth Anger,USA,,,,,,,
Confessions Of A Trick Baby,Matthew Bright,USA,1999,Dublin,DVD,Y/Y,,,
Little Caesar,Mervyn Le Roy,USA,1931,Dublin,ISO,Y/Y,,,
Dig!,Ondi Timoner,USA,2004,Dublin,DVD,Y/Y,Y,,
The Aristocrats,Paul Provenza,USA,2005,Dublin,DVD,Y/Y,,,
There Will Be Blood (DVD),Paul Thomas Anderson,USA,2007,Dublin,DVD,Y/Y,Y,,
Inglorious Basterds,Quentin Tarantino,USA,2009,,HD,Y/Y,,,
Little Shop of Horrors,Roger Corman,USA,1960,,,,,,
Primer,Shane Carruth,USA,2004,Dublin,DVD,Y/Y,,,
Marie Antoinette,Sofia Coppola,USA,2006,Dublin,ISO,Y/Y,N,,
Paths Of Glory,Stanley Kubrick,USA,1957,Dublin,ISO,Y/Y,N,,
Spartacus,Stanley Kubrick,USA,1960,Dublin,ISO,Y/Y,N,,
The Fall,Tarsem,USA,2006,Dublin,HD,Y/N,Y,,
Tideland,Terry Gilliam,USA,2005,,,Y/Y,N,,
The House of Sand and Fog,Vadim Perelman,USA,2003,,,Y/Y,,,
Moonrise Kingdom,Wes Anderson,USA,2012,Dublin,HD,Y/Y,Y,,
"Paris, Texas",Wim Wenders,USA,1984,,ISO,Y/Y,Y,,
Manhattan Murder Mystery,Woody Allen,USA,1993,Dublin,ISO,Y/Y,N,,
Deathproof,Quentin Tarantino,USA ,2007,Dublin,ISO,Y/Y,N,,
Buffalo 66,Vincent Gallo ,USA ,1998,Dublin,ISO,Y/N,Y,,
Angel Heart,Alan Parker,,1987,Dublin,DVD,Y/Y,,,
Solaris,Andrei Tarkovsky,,1972,Dublin,DVD,Y/Y,,,
Stalker ,Andrei Tarkovsky,,,Dublin,DVD,Y/Y,Y,,
Get Shorty,Barry Sonnenfeld,,1995,Dublin,DVD,Y/Y,,,
Last Emperor Directors Cut,Bernardo Bertolucci,,1987,,,,,,
Sympathy For Mr Vengeance,Chan Park Wook,,2002,Dublin,SD,Y/Y,,,
Colors,Dennis Hopper,,1988,Dublin,DVD,Y/Y,,,
When Father Was Away On Business,Emir Kusturica,,1985,,ISO,Y/Y,,,
Diary of a Lost Girl,G.W Pabst,,1929,,,N/N,,,
Good Night And Good Luck,George Clooney,,2005,Dublin,DVD,Y/Y,,,
Pan’s Labyrinth,Guillermo Del Toro,,2006,,ISO,Y/N,,,
Gunbuster,Hideaki Anno,,1988,Dublin,,Y/Y,,,
One Plus One,Jean Luc Godard,,1968,Dublin,DVD,Y/Y,,,
Jean Vigo,Jean Vigo,,,,ISO,Y/Y,Y,,
Akira,Katsushiro Otomo,,1988,Dublin,DVD,Y/Y,,,
Three Colours Blue,Krzysztof Kieslowski,,1993,Dublin,ISO,Y/Y,,,
